epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.891,1.16323,3.22301,1.3945,0.36381,0.2851,0.22241,0.14486,1.28517,2.73564,1.41408,9.77721e-05,9.77721e-05,9.77721e-05
2,417.908,1.23649,2.50183,1.41313,0.37121,0.2675,0.22839,0.14078,1.3981,2.47136,1.55205,0.000191896,0.000191896,0.000191896
3,622.804,1.28338,2.51214,1.44798,0.48196,0.21688,0.2167,0.14031,1.40531,2.50909,1.54161,0.000282139,0.000282139,0.000282139
4,827.903,1.27418,2.41182,1.44056,0.35872,0.33014,0.25551,0.16694,1.36462,2.36591,1.48866,0.000276536,0.000276536,0.000276536
5,1033.66,1.25234,2.33434,1.43453,0.38006,0.27179,0.2466,0.16171,1.3607,2.38321,1.50006,0.000270715,0.000270715,0.000270715
6,1238.85,1.23437,2.21935,1.42449,0.41972,0.30854,0.29774,0.19521,1.29991,2.23882,1.46248,0.000264894,0.000264894,0.000264894
7,1444.12,1.21189,2.1175,1.40015,0.43045,0.35267,0.32816,0.2219,1.29908,2.04578,1.45969,0.000259073,0.000259073,0.000259073
8,1647.86,1.18774,2.06235,1.38896,0.39279,0.36528,0.33084,0.22704,1.29415,2.0311,1.44093,0.000253252,0.000253252,0.000253252
9,1852.27,1.18455,1.99468,1.38078,0.41543,0.39438,0.35591,0.23834,1.27375,2.03285,1.41833,0.00024743,0.00024743,0.00024743
10,2056.85,1.15665,1.93245,1.36704,0.43898,0.39194,0.35863,0.24542,1.24136,1.9487,1.41119,0.000241609,0.000241609,0.000241609
11,2260.84,1.16067,1.87242,1.36213,0.49354,0.35296,0.35679,0.24237,1.25316,1.89694,1.41841,0.000235788,0.000235788,0.000235788
12,2464.46,1.13267,1.83779,1.34608,0.50958,0.38368,0.37289,0.2433,1.25252,1.99074,1.42315,0.000229967,0.000229967,0.000229967
13,2668.36,1.11842,1.77358,1.34063,0.41034,0.39604,0.35255,0.24462,1.22814,1.93733,1.40016,0.000224146,0.000224146,0.000224146
14,2872.25,1.11367,1.70509,1.33802,0.44491,0.41311,0.38295,0.26309,1.23484,1.86322,1.41131,0.000218324,0.000218324,0.000218324
15,3075.9,1.09634,1.68676,1.32073,0.40963,0.41153,0.36901,0.25361,1.23434,1.93042,1.41024,0.000212503,0.000212503,0.000212503
16,3279.71,1.09335,1.63746,1.31538,0.49928,0.36299,0.38623,0.27046,1.25086,1.89206,1.40089,0.000206682,0.000206682,0.000206682
17,3483.47,1.08084,1.59088,1.31234,0.49408,0.38204,0.39791,0.27926,1.21806,1.82505,1.38414,0.000200861,0.000200861,0.000200861
18,3687.69,1.07994,1.5444,1.30543,0.46776,0.40868,0.38883,0.27787,1.23619,1.89519,1.4052,0.00019504,0.00019504,0.00019504
19,3891.69,1.0665,1.51386,1.30136,0.52728,0.42026,0.44056,0.29671,1.21362,1.75383,1.40263,0.000189218,0.000189218,0.000189218
